Category,Product,Code,Priced per,List Price,Member Price,Member Discount %,Stock,All tiers,Cost/Unit (fill in),Avg Sell Price (fill in),Margin THB (fill in),Margin % (fill in)
Exotics,Crunch Berrie,EXO-01,1g,800,720,10,25,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Alien Mint,EXO-02,1g,800,720,10,22,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Cookie Monster,EXO-03,1g,800,720,10,18,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,D-Lish,EXO-04,1g,800,720,10,20,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Black Cherry,EXO-05,1g,800,720,10,16,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Orange Z,EXO-06,1g,800,720,10,20,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Giraffe Puzzy,EXO-07,1g,800,720,10,15,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Blue Nerdz,EXO-08,1g,800,720,10,14,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Thai Orange Tea,EXO-09,1g,800,720,10,18,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Red Hot,EXO-10,1g,800,720,10,20,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Coco Chanel,EXO-11,1g,800,720,10,19,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Pink Zugar,EXO-12,1g,800,720,10,21,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,LCG RX11,EXO-13,1g,800,720,10,17,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Toad Venom,EXO-14,1g,800,720,10,15,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Lemon Cherry Gelato,EXO-15,1g,800,720,10,18,"½g ฿400 · 1 joint ฿400 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Exotics,Gelato X,EXO-16,1g,800,720,10,16,"½g ฿400 · 1 joint ฿450 · 1g ฿800 · 3.5g · 3+1 FREE ฿2,400",,,,
Topshelf,OG Kush × Zkittlez,TOP-01,1g,600,540,10,24,"½g ฿300 · 1 joint ฿300 · 1g ฿600 · 3.5g · 3+1 FREE ฿1,800",,,,
Topshelf,Ztupid,TOP-02,1g,600,540,10,20,"½g ฿300 · 1 joint ฿300 · 1g ฿600 · 3.5g · 3+1 FREE ฿1,800",,,,
Topshelf,Sherb Tank,TOP-03,1g,600,540,10,22,"½g ฿300 · 1 joint ฿300 · 1g ฿600 · 3.5g · 3+1 FREE ฿1,800",,,,
Topshelf,King Cherry,TOP-04,1g,600,540,10,20,"½g ฿300 · 1 joint ฿300 · 1g ฿600 · 3.5g · 3+1 FREE ฿1,800",,,,
